"Input to House construction prices, quarterly and annual percentage change and index"
"Quarter","index no.","quarter (% change)","annual (% change)"
"Mar-21","121.8","1.1","2.5"
"Jun-21","125.0","2.6","4.0"
"Sep-21","130.0","4.0","8.0"
"Dec-21","134.9","3.8","12.0"
"Mar-22","140.5","4.2","15.4"
"Jun-22","146.6","4.3","17.3"
"Sep-22","150.8","2.9","16.0"
"Dec-22","154.1","2.2","14.2"
"Mar-23","156.5","1.6","11.4"
"Jun-23","157.4","0.6","7.4"
"Sep-23","157.4","0.0","4.4"
"Dec-23","157.8","0.3","2.4"
"Mar-24","158.5","0.4","1.3"
"Jun-24","159.2","0.4","1.1"
"Sep-24","159.6","0.3","1.4"
"Dec-24","160.4","0.5","1.6"
"Mar-25","160.3","-0.1","1.1"
"Jun-25","161.7","0.9","1.6"
"Sep-25","163.0","0.8","2.1"
"Dec-25","163.3","0.2","1.8"
"Mar-26","164.3","0.6","2.5"

" Source: Australian Bureau of Statistics, Producer Price Indexes, Australia March 2026"